Tanggal,Variasi,Kg,Total harga
3/3/2026,Setrika,3,12000
3/3/2026,Karpet,"8,2",32800
3/3/2026,Karpet,4,25000
3/3/2026,"Cuci Kering, Setrika",4,25000
3/3/2026,Cuci Lipat,4,30000
4/3/2026,"Cuci Kering, Setrika","4,5",18000
4/3/2026,"Bed Cover, Sprei",5,20000
4/3/2026,Setrika,10,25000
4/3/2026,Cuci Lipat,"7,6",68400
4/3/2026,Bed Cover,"7,6",57000
4/3/2026,"Cuci Kering, Setrika","10,5",35000
4/3/2026,Cuci Lipat,"6,7",26800
5/3/2026,"Cuci Kering, Setrika","5,5",41250
5/3/2026,Setrika,5,20000
5/3/2026,"Cuci Kering, Setrika",13,52000
5/3/2026,Setrika,"8,5",63750
5/3/2026,"Cuci Kering, Setrika",11,82500
6/3/2026,"Selimut, Setrika",3,22500
6/3/2026,"Cuci Kering, Setrika","9,7",48800
6/3/2026,Cuci Lipat,12,48000
6/3/2026,"Cuci Kering, Setrika","9,5",71250
7/3/2026,"Bed Cover, Cuci Kering, Setrika, Sprei","6,3",56700
7/3/2026,"Cuci Lipat, Selimut","4,8",36000
7/3/2026,"Cuci Kering, Setrika",1,25000
7/3/2026,Karpet,"5,5",41250
7/3/2026,"Cuci Kering, Setrika",11,82500
7/3/2026,"Cuci Kering, Setrika",5,30000
7/3/2026,"Cuci Kering, Setrika",4,25000
7/3/2026,Karpet,13,132500
8/3/2026,Cuci Lipat,"11,1",83250
8/3/2026,"Cuci Kering, Setrika",6,24000
8/3/2026,"Cuci Kering, Setrika","7,9",59250
8/3/2026,"Cuci Kering, Setrika","6,7",50250
8/3/2026,"Cuci Kering, Setrika, Sprei",4,40000
8/3/2026,"Cuci Kering, Setrika",3,22500
8/3/2026,"Bed Cover, Sprei","4,5",33750
8/3/2026,"Cuci Kering, Setrika","7,3",54750
8/3/2026,"Cuci Kering, Setrika, Sprei",10,35000
8/3/2026,"Bed Cover, Sprei",5,47500
8/3/2026,"Cuci Kering, Setrika","2,5",35000
9/3/2026,Karpet,"2,5",35000
9/3/2026,"Bed Cover, Cuci Lipat",4,16000
9/3/2026,Setrika,"5,7",42750
9/3/2026,"Cuci Kering, Setrika",3,22500
9/3/2026,"Cuci Kering, Setrika",4,25000
9/3/2026,Setrika,"3,2",24000
9/3/2026,Cuci Lipat,"9,5",38000
9/3/2026,Setrika,"4,4",17600
9/3/2026,"Bed Cover, Sprei",12,73000
9/3/2026,"Cuci Kering, Setrika",8,32000
9/3/2026,"Bed Cover, Sprei",6,35000
10/3/2026,"Cuci Kering, Setrika",2,15000
10/3/2026,Cuci Lipat,8,32000
10/3/2026,"Cuci Kering, Setrika","3,5",26250
10/3/2026,Setrika,4,25000
10/3/2026,Karpet,"5,5",22000
10/3/2026,Setrika,7,52500
11/3/2026,"Cuci Kering, Setrika",3,12000
11/3/2026,"Cuci Kering, Setrika",8,72000
11/3/2026,"Cuci Kering, Setrika, Sprei","5,2",49000
11/3/2026,Setrika,"3,3",24750
11/3/2026,Cuci Lipat,"4,2",16800
11/3/2026,"Cuci Kering, Setrika","7,5",56250
11/3/2026,Selimut,"14,5",58000
12/3/2026,"Bed Cover, Sprei",7,52500
12/3/2026,"Cuci Kering, Setrika",4,16000
12/3/2026,Karpet,8,25000
12/3/2026,Karpet,1,10000
12/3/2026,"Cuci Kering, Setrika",4,26000
12/3/2026,Karpet,6,25000
12/3/2026,"Cuci Kering, Setrika",4,25000
12/3/2026,Setrika,"5,5",22000
12/3/2026,Setrika,"11,5",69000
12/3/2026,Karpet,8,50000
13/3/2026,Setrika,10,20000
13/3/2026,Bed Cover,3,15000
13/3/2026,Karpet,4,25000
13/3/2026,"Cuci Kering, Setrika","5,7",45600
13/3/2026,"Cuci Kering, Setrika",4,25000
13/3/2026,Karpet,4,115000
13/3/2026,Cuci Lipat,"6,4",51200
13/3/2026,"Cuci Kering, Setrika","5,5",30000
13/3/2026,"Cuci Kering, Setrika",12,48000
13/3/2026,"Cuci Kering, Setrika, Sprei","15,5",72200
14/3/2026,Karpet,"4,5",36000
14/3/2026,"Cuci Kering, Setrika",7,52500
14/3/2026,"Cuci Kering, Setrika",4,25000
14/3/2026,"Cuci Kering, Setrika","7,5",49000
14/3/2026,Cuci Lipat,"5,5",35750
26/3/2026,"Bed Cover, Cuci Kering, Setrika",17,64000
26/3/2026,"Bed Cover, Setrika","13,5",41000
26/3/2026,"Cuci Kering, Setrika, Sprei","12,5",115000
26/3/2026,Setrika,12,72000
26/3/2026,"Cuci Kering, Setrika, Sprei",3,14400
26/3/2026,"Cuci Kering, Setrika",8,32000
26/3/2026,"Cuci Kering, Setrika",20,120000
26/3/2026,Cuci Lipat,"4,2",25200
26/3/2026,Bed Cover,1,20000
26/3/2026,"Cuci Kering, Setrika","16,8",67200
26/3/2026,Karpet,11,68000
27/3/2026,"Cuci Lipat, Sprei",3,36000
27/3/2026,"Cuci Kering, Setrika, Selimut, Sprei","11,5",73000
27/3/2026,Setrika,1,20000
27/3/2026,Bed Cover,2,35000
27/3/2026,Cuci Lipat,6,22200
27/3/2026,"Karpet, Selimut",6,31000
27/3/2026,Bed Cover,"5,5",27500
28/3/2026,"Cuci Kering, Setrika",1,20000
28/3/2026,"Cuci Kering, Setrika","9,5",57000
28/3/2026,"Cuci Kering, Setrika, Sprei",1,20000
28/3/2026,"Bed Cover, Gordyn, Setrika",2,16000
28/3/2026,"Karpet, Setrika",3,35000
28/3/2026,"Cuci Kering, Setrika",12,54000
28/3/2026,"Bed Cover, Boneka","21,1",140400
28/3/2026,"Cuci Kering, Setrika","18,5",106000
28/3/2026,Bed Cover,"9,7",58200
28/3/2026,Setrika,"10,5",68750
29/3/2026,"Selimut, Sprei","5,98",23200
29/3/2026,"Cuci Kering, Setrika, Sprei",6,35000
29/3/2026,"Bed Cover, Sprei",3,36000
29/3/2026,"Cuci Kering, Setrika",1,35000
29/3/2026,Karpet,"6,5",57000
29/3/2026,"Bed Cover, Sprei","4,3",17200
29/3/2026,Setrika,"3,2",20800
29/3/2026,"Cuci Kering, Setrika",2,28000
29/3/2026,Karpet,14,95000
30/3/2026,Sprei,"9,5",48000
30/3/2026,"Cuci Kering, Setrika",12,72000
30/3/2026,"Cuci Kering, Setrika, Sprei",1,35000
30/3/2026,Setrika,"11,9",87750
30/3/2026,"Cuci Kering, Setrika",3,58000
30/3/2026,"Cuci Kering, Setrika, Sprei",1,15000
30/3/2026,"Karpet, Sprei","7,4",28000
30/3/2026,Cuci Lipat,"5,8",37700
30/3/2026,"Cuci Kering, Setrika",8,36000
31/3/2026,"Cuci Kering, Setrika","16,5",66000
31/3/2026,Setrika,4,46000
31/3/2026,"Cuci Kering, Setrika","4,3",27950
31/3/2026,Cuci Lipat,13,52000
31/3/2026,Setrika,"5,2",33800
31/3/2026,Setrika,"6,9",55000
31/3/2026,"Karpet, Selimut","2,5",10000
31/3/2026,"Cuci Kering, Setrika","4,8",28800
31/3/2026,"Selimut, Sprei","6,3",37800
31/3/2026,"Bed Cover, Cuci Kering, Setrika, Sprei",2,24000
31/3/2026,"Bed Cover, Cuci Kering, Setrika",8,32000
31/3/2026,"Cuci Kering, Setrika","5,2",52000
1/4/2026,"Cuci Kering, Setrika","3,3",19800
1/4/2026,"Cuci Kering, Setrika","5,9",35400
2/4/2026,Cuci Lipat,3,24000
2/4/2026,"Cuci Kering, Setrika",4,29000
2/4/2026,"Cuci Kering, Setrika",3,15000
2/4/2026,"Cuci Kering, Setrika",3,20000
2/4/2026,"Selimut, Sprei","6,8",26000
2/4/2026,Sprei,3,14000
2/4/2026,"Cuci Kering, Setrika",6,25000
2/4/2026,Setrika,"8,2",49200
2/4/2026,"Cuci Kering, Setrika","6,5",42250
2/4/2026,"Cuci Kering, Setrika","4,6",18400
2/4/2026,"Cuci Kering, Setrika","9,5",64000
2/4/2026,Setrika,3,36000
2/4/2026,Bed Cover,6,48000
2/4/2026,"Cuci Kering, Setrika",1,20000
2/4/2026,"Cuci Kering, Setrika, Selimut","4,4",33000
3/4/2026,"Cuci Kering, Setrika","9,5",42750
3/4/2026,Bed Cover,4,25000
3/4/2026,Cuci Lipat,1,20000
3/4/2026,"Cuci Kering, Setrika","8,6",51600
3/4/2026,Karpet,"17,5",80000
3/4/2026,Cuci Lipat,"14,1",65250
3/4/2026,Setrika,"18,5",62000
4/4/2026,"Cuci Kering, Setrika","5,5",30000
4/4/2026,Cuci Lipat,"2,5",15000
4/4/2026,"Cuci Kering, Setrika","7,5",42000
4/4/2026,"Cuci Kering, Setrika",3,18000
4/4/2026,"Cuci Kering, Setrika","3,5",21000
4/4/2026,"Boneka, Cuci Lipat",10,40000
4/4/2026,"Cuci Kering, Setrika",5,25000
4/4/2026,"Cuci Kering, Setrika","12,5",75000
4/4/2026,Setrika,"6,5",39000
4/4/2026,"Cuci Kering, Setrika","7,5",30000
5/4/2026,"Selimut, Sprei","3,5",24500
5/4/2026,"Cuci Kering, Setrika",3,17000
5/4/2026,Karpet,1,20000
5/4/2026,Bed Cover,6,48000
5/4/2026,Setrika,3,30000
5/4/2026,"Cuci Kering, Setrika","6,3",52000
5/4/2026,"Cuci Kering, Setrika","5,5",41250
5/4/2026,"Cuci Kering, Setrika",1,20000
5/4/2026,Setrika,"39,5",160000
6/4/2026,"Cuci Kering, Setrika, Karpet","5,6",22400
6/4/2026,Sepatu,4,40000
6/4/2026,Setrika,3,20250
6/4/2026,"Cuci Kering, Setrika","6,5",52700
6/4/2026,"Cuci Kering, Setrika",4,60000
6/4/2026,"Cuci Kering, Setrika",3,15000
6/4/2026,"Cuci Kering, Setrika","6,9",41400
6/4/2026,Karpet,"11,6",46000
6/4/2026,Setrika,"2,5",12000
6/4/2026,Cuci Lipat,1,20000
6/4/2026,Setrika,2,10000
6/4/2026,"Cuci Kering, Setrika, Sepatu",9,40500
7/4/2026,Cuci Lipat,"9,2",59000
7/4/2026,Setrika,"6,5",79250
7/4/2026,Setrika,"6,8",34000
7/4/2026,"Cuci Kering, Setrika","3,14",17050
7/4/2026,"Cuci Kering, Setrika","4,6",18000
7/4/2026,"Karpet, Setrika",15,69000
7/4/2026,"Cuci Kering, Setrika","5,2",20800
7/4/2026,Cuci Lipat,13,52000
7/4/2026,Setrika,"8,5",34000
